,,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Undergrad,Berkeley,"33,078","32,479","31,814","30,799","31,348","30,853","30,574","29,310","27,496","27,126","25,951","25,774","25,878","25,536"
Undergrad,Davis,"31,856","31,632","31,770","31,293","31,115","30,876","30,212","29,557","28,384","27,728","26,663","25,759","25,096","24,737"
Undergrad,Irvine,"28,857","27,984","28,735","29,481","30,223","29,567","29,134","27,178","25,191","24,407","23,450","22,143","21,949","21,904"
Undergrad,Los Angeles,"32,735","32,214","31,919","31,437","31,349","31,382","30,813","30,680","29,399","29,440","28,476","27,728","26,963","25,924"
Undergrad,Merced,"8,372","8,343","8,321","8,276","8,151","7,881","7,375","6,815","6,237","5,884","5,837","5,431","4,938","4,138"
Undergrad,Riverside,"22,653","22,914","22,875","22,702","22,067","20,590","20,074","19,814","18,637","18,814","18,658","18,583","18,574","18,293"
Undergrad,San Diego,"33,093","32,495","32,784","31,842","30,794","30,285","28,587","28,127","26,590","24,810","23,805","22,676","23,046","23,663"
Undergrad,Santa Barbara,"23,238","23,460","23,097","23,202","23,354","23,080","22,196","21,580","20,615","20,250","19,372","18,989","18,636","19,199"
Undergrad,Santa Cruz,"17,812","17,502","17,864","17,207","17,517","17,792","17,577","16,962","16,231","16,277","15,695","15,978","15,945","15,668"
Graduate,Berkeley,"11,923","12,070","12,492","10,843","11,118","10,940","10,532","10,098","9,961","9,731","9,518","9,364","9,494","9,475"
Graduate,Davis,"6,098","6,326","6,565","6,083","5,840","5,674","5,588","5,418","5,406","5,468","5,357","5,165","5,236","5,274"
Graduate,Irvine,"6,007","6,326","6,203","5,928","5,849","5,654","5,334","4,817","4,861","4,888","4,665","4,530","4,452","4,287"
Graduate,Los Angeles,"11,095","11,387","11,522","10,576","10,512","10,672","10,700","10,353","10,000","9,866","9,706","9,665","9,661","9,704"
Graduate,Merced,775,760,772,742,696,663,592,521,448,384,358,329,260,243
Graduate,Riverside,"3,443","3,576","3,672","3,439","3,196","3,090","2,982","2,901","2,748","2,684","2,549","2,364","2,326","2,399"
Graduate,San Diego,"7,277","7,634","7,264","6,544","6,769","6,427","6,014","5,689","5,153","4,736","4,581","4,486","4,432","4,366"
Graduate,San Francisco,,,,,11,30,49,,,15,,,,
Graduate,Santa Barbara,"2,830","2,960","3,027","2,977","2,960","2,896","2,861","2,766","2,882","2,801","2,853","2,938","3,049","3,019"
Graduate,Santa Cruz,"1,952","1,976","1,977","1,954","1,977","1,908","1,880","1,821","1,637","1,589","1,508","1,426","1,509","1,519"
Health science,Berkeley,698,758,730,685,719,708,785,746,732,708,729,755,765,822
Health science,Davis,"1,753","1,721","1,715","1,698","1,679","1,617","1,580","1,485","1,396","1,312","1,287","1,430","1,400","1,381"
Health science,Irvine,"1,718","1,627","1,567",894,836,811,774,759,784,756,780,806,788,803
Health science,Los Angeles,"2,848","2,829","2,675","2,576","2,510","2,483","2,514","2,515","2,509","2,539","2,613","2,552","2,647","2,529"
Health science,Riverside,330,319,300,293,284,242,223,206,147,100,78,58,55,54
Health science,San Diego,"2,006","1,877","1,837","1,190","1,173","1,175","1,171","1,163","1,163","1,163","1,131","1,132","1,115","1,147"
Health science,San Francisco,"3,126","3,140","3,165","3,201","3,169","3,084","3,058","3,145","3,107","3,155","3,079","3,137","3,054","3,024"
